"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","season"
"C.Jones",6798,"P","DAL",16,69,69,4.46,42.54,44.88,6.8,0,0,7,22,9,82.4,31,60,14,0,34.8,162,24,69,307.83,2935,0,3097,2015
"B.Anger",7072,"P","JAX",16,80,80,4.48,39.21,46.29,10.6,0,0,6,22,15,71.9,29,63,2,0,57.5,486,46,80,358.25,3137,4,3703,2015
"B.Nortman",7192,"P","CAR",19,85,85,4.49,38.69,44.36,9.1,0,1,5,27,5,65.1,24,65,6,2,47.1,362,40,86,381.88,3289,6,3771,2015
"J.Hekker",7252,"P","SL",16,97,97,4.39,43.03,47.33,7.4,0,1,18,25,26,77.1,44,68,7,2,41.2,297,40,97,425.77,4174,6,4591,2015
"D.Butler",7302,"P","ARZ",18,67,67,4.52,36.36,43.12,11.9,0,0,8,22,1,65.5,26,58,3,0,41.8,333,28,68,302.88,2436,6,2889,2015
"M.King",7410,"P","OAK",16,83,83,4.33,41,44.39,6.9,0,0,20,20,23,70.7,42,70,9,0,34.9,201,29,84,359.76,3403,4,3684,2015
"R.Quigley",7573,"P","NYJ",15,75,75,4.43,36.75,43.57,12.7,0,0,8,14,22,70.4,29,68,14,0,45.3,432,34,76,332.17,2756,4,3268,2015
"J.Locke",7937,"P","MIN",17,71,71,4.23,37.45,41.1,5,0,0,10,22,18,43,28,61,2,0,45.1,159,32,71,300.6,2659,5,2918,2015
"S.Martin",7947,"P","DET",16,80,80,4.55,41.94,45.98,6.3,0,0,11,19,11,74.6,26,66,4,0,52.5,263,42,80,364.04,3355,3,3678,2015
"C.Schmidt",8104,"P","BUF",16,81,81,4.33,40.85,45.95,8.8,0,0,10,20,4,69.2,22,65,8,0,49.4,353,40,81,350.87,3309,3,3722,2015
"R.Allen",8242,"P","NE",17,82,82,4.3,40.12,45.91,9,1,0,7,15,19,67.6,33,67,12,0,53.7,395,44,83,352.26,3290,4,3765,2015
"B.Wing",8256,"P","NYG",16,76,76,4.3,38.63,44.16,10,0,0,17,22,21,54,34,64,2,1,39.5,300,30,76,326.86,2936,6,3356,2015
"T.Way",8358,"P","WAS",17,75,75,4.44,40.67,46.36,9.3,0,0,17,14,32,74.1,26,64,5,0,41.3,287,31,76,333.11,3050,7,3477,2015
"B.McManus",8437,"K","DEN",1,1,1,4.27,1,21,NA,0,0,0,0,10,60,0,21,0,0,0,0,0,1,4.27,1,1,21,2015
"P.O'Donnell",8826,"P","CHI",15,70,70,4.49,39.74,43.74,8,0,0,11,22,6,63.8,32,63,6,0,35.7,200,25,71,314.01,2782,4,3062,2015
"Z.Hocker",8862,"K","SL",1,1,1,4.62,43,43,NA,0,0,0,1,26,60,1,43,0,0,0,0,0,1,4.62,43,0,43,2015
"J.Schum",9373,"P","TB",16,56,56,4.53,37.61,41.54,5.2,0,0,7,16,30,68.5,16,56,3,0,48.2,140,27,56,253.79,2106,4,2326,2015
"B.Pinion",9598,"P","SF",16,91,91,4.4,38.85,43.38,7.5,0,0,8,22,28,62.2,31,62,13,0,46.2,313,42,91,400.56,3535,5,3948,2015
"M.Darr",9812,"P","MIA",16,92,92,4.16,39.79,47.57,10.3,0,0,10,15,17,58.5,32,70,8,1,56.5,535,52,92,383.03,3661,9,4376,2015
"J.Berry",10236,"P","PIT",18,72,72,4.43,37.83,42.01,11,0,0,15,25,25,62.9,33,66,7,0,30.6,241,22,72,319.19,2724,3,3025,2015
"S.Lechler",673,"P","HST",18,89,89,4.27,39.38,46.94,10.1,0,0,3,18,13,69.6,38,63,5,0,64,573,57,89,380.43,3505,5,4178,2016
"M.Bryant",1223,"K","ATL",1,2,2,4.02,33.5,33.5,NA,0,0,0,2,2,59.2,0,36,0,0,0,0,0,2,8.03,67,0,67,2016
"A.Lee",1906,"P","CAR",9,36,36,4.45,40.36,49.14,13.9,0,0,7,7,5,72.4,18,76,1,0,47.2,236,17,36,160.03,1453,4,1769,2016
"D.Jones",1939,"P","PHI",16,63,63,4.29,40.73,45.84,8.4,0,0,11,15,24,64.3,23,72,6,0,38.1,202,24,63,270.04,2566,6,2888,2016
"D.Colquitt",2316,"P","KC",17,80,80,4.52,40.8,45.13,5.4,0,0,6,28,16,74.9,40,64,5,0,38.8,166,31,80,361.9,3264,9,3610,2016
"S.Koch",3148,"P","BLT",16,80,80,4.31,39.88,45.81,11.7,0,0,10,14,3,79.9,38,68,18,0,40,375,32,80,344.76,3190,5,3665,2016
"J.Ryan",3493,"P","SEA",18,76,76,4.27,40.16,44.18,8.8,1,0,13,23,29,64.8,31,64,7,0,36.8,246,28,77,324.42,3052,3,3358,2016
"B.Kern",4580,"P","TEN",16,77,77,4.34,38.64,44.18,10.5,0,0,6,27,31,67.3,33,71,4,0,42.9,347,33,77,334.17,2975,4,3402,2016
"K.Huber",5066,"P","CIN",16,78,78,4.17,39.54,46.32,9.7,0,0,8,20,7,54.7,28,72,4,0,48.7,369,38,78,325.56,3084,8,3613,2016
